date,machine_id,product_type,shift,workers,machine_hours,downtime_hours,maintenance_hours,material_availability_pct,quality_rate_pct,temperature_c,energy_consumption_kwh,production_target,actual_production,production_gap,shortfall_units,units_per_hour,required_ot_hours,ot_rate_per_hour,ot_workers,estimated_ot_cost,production_status
2024-01-01,M03,Product_A,Morning,13,8.46,0.06,0.15,77.89,89.26,28.4,418.15,489,307,182,182,36.66,4.96,180,8,7142.4,Shortfall
2024-01-01,M02,Product_C,Morning,17,8.79,2.14,1.1,89.87,93.21,20.9,502.62,354,237,117,117,32.79,3.57,180,11,7068.6,Shortfall
2024-01-01,M04,Product_B,Morning,11,8.67,1.62,1.32,84.82,88.51,33.9,532.65,419,239,180,180,32.66,5.51,180,7,6942.6,Shortfall
2024-01-01,M02,Product_A,Evening,21,11.58,1.74,0.55,99.48,95.11,23.7,234.74,589,499,90,90,47.84,1.88,200,13,4888.0,Shortfall
2024-01-01,M01,Product_C,Morning,17,7.92,0.6,1.65,79.82,93.43,37.9,198.39,357,198,159,159,28.24,5.63,180,11,11147.4,Shortfall
2024-01-01,M03,Product_B,Evening,13,11.17,0.89,1.22,99.44,96.55,33.6,225.62,568,407,161,161,39.69,4.06,200,8,6496.0,Shortfall
2024-01-01,M05,Product_C,Morning,21,9.84,1.39,1.39,77.27,92.54,28.7,365.58,423,251,172,172,29.22,5.89,180,13,13782.6,Shortfall
2024-01-01,M05,Product_B,Evening,22,7.16,0.51,1.28,76.94,91.49,30.1,558.79,342,220,122,122,34.21,3.57,200,14,9996.0,Shortfall
2024-01-01,M05,Product_B,Night,28,6.99,1.77,0.84,77.84,92.51,26.4,601.92,307,166,141,141,29.01,4.86,230,17,19002.6,Shortfall
2024-01-01,M03,Product_B,Night,9,7.31,0.27,1.04,85.07,95.33,31.1,507.66,349,226,123,123,33.25,3.7,230,6,5106.0,Shortfall
2024-01-01,M03,Product_B,Night,23,6.77,2.29,1.82,79.43,94.2,37.4,375.28,331,147,184,184,30.16,6.1,230,14,19642.0,Shortfall
2024-01-01,M03,Product_A,Evening,26,11.74,0.99,0.47,96.73,99.98,33.9,207.99,653,615,38,38,55.75,0.68,200,16,2176.0,Shortfall
2024-01-01,M03,Product_B,Morning,26,11.42,0.52,0.81,80.39,91.52,29.7,290.87,580,437,143,143,40.27,3.55,180,16,10224.0,Shortfall
2024-01-01,M05,Product_A,Evening,18,9.38,1.64,1.21,87.76,93.62,37.6,350.67,510,307,203,203,38.12,5.33,200,11,11726.0,Shortfall
2024-01-02,M01,Product_B,Morning,24,8.82,1.88,0.39,87.66,88.6,35.9,218.73,436,270,166,166,35.3,4.7,180,15,12690.0,Shortfall
2024-01-02,M01,Product_C,Morning,11,8.46,0.82,0.7,96.23,92.03,23.4,439.77,368,284,84,84,36.58,2.3,180,7,2898.0,Shortfall
2024-01-02,M01,Product_A,Night,13,9.35,2.12,0.29,76.01,95.27,21.4,482.51,483,257,226,226,31.8,7.11,230,8,13082.4,Shortfall
2024-01-02,M02,Product_B,Evening,10,6.33,0.08,1.23,94.03,93.78,30.2,648.48,286,212,74,74,36.21,2.04,200,6,2448.0,Shortfall
2024-01-02,M01,Product_A,Night,10,10.48,1.55,0.71,98.95,94.32,20.5,529.91,557,378,179,179,40.3,4.44,230,6,6127.2,Shortfall
2024-01-02,M04,Product_A,Evening,27,9.46,2.82,0.74,92.51,90.26,28.8,289.58,461,321,140,140,41.96,3.34,200,17,11356.0,Shortfall
2024-01-03,M05,Product_A,Morning,16,6.31,1.68,0.25,83.88,88.62,29.7,572.09,336,185,151,151,34.92,4.32,180,10,7776.0,Shortfall
2024-01-03,M01,Product_A,Morning,29,9.85,2.41,1.1,83.41,90.39,20.7,304.69,531,349,182,182,42.88,4.24,180,18,13737.6,Shortfall
2024-01-03,M04,Product_A,Night,25,6.15,1.21,1.43,77.03,96.9,32.9,592.76,304,176,128,128,35.31,3.63,230,15,12523.5,Shortfall
2024-01-03,M01,Product_A,Morning,22,11.88,1.37,1.06,84.95,93.1,37.4,398.0,682,441,241,241,41.0,5.88,180,14,14817.6,Shortfall
2024-01-03,M05,Product_A,Evening,11,6.0,2.7,1.88,81.22,96.6,27.3,461.67,324,137,187,187,35.52,5.26,200,7,7364.0,Shortfall
2024-01-03,M05,Product_B,Morning,17,8.96,0.07,0.3,93.91,88.04,26.3,417.51,440,323,117,117,36.64,3.19,180,11,6316.2,Shortfall
2024-01-03,M04,Product_A,Morning,19,7.23,1.16,1.51,88.71,99.78,30.2,446.47,392,287,105,105,47.33,2.22,180,12,4795.2,Shortfall
2024-01-03,M05,Product_A,Morning,29,9.23,0.82,1.85,78.74,90.61,37.4,602.18,511,314,197,197,38.62,5.1,180,18,16524.0,Shortfall
2024-01-04,M03,Product_B,Morning,15,8.54,0.85,0.52,77.6,91.25,36.8,566.63,442,269,173,173,34.09,5.07,180,9,8213.4,Shortfall
2024-01-04,M01,Product_C,Morning,13,6.99,1.04,1.61,93.84,92.27,24.6,392.1,297,178,119,119,30.4,3.91,180,8,5630.4,Shortfall
2024-01-04,M02,Product_C,Morning,17,7.6,1.99,0.24,92.24,90.28,29.9,413.94,327,220,107,107,34.26,3.12,180,11,6177.6,Shortfall
2024-01-04,M03,Product_C,Night,19,10.49,0.98,1.29,89.9,94.9,36.6,477.91,410,302,108,108,31.79,3.4,230,12,9384.0,Shortfall
2024-01-04,M01,Product_A,Morning,18,6.22,1.99,0.21,85.84,91.34,29.8,345.8,364,221,143,143,43.75,3.27,180,11,6474.6,Shortfall
2024-01-04,M05,Product_B,Morning,25,10.02,0.87,0.42,96.19,89.78,35.9,439.29,495,380,115,115,40.45,2.84,180,15,7668.0,Shortfall
2024-01-04,M01,Product_B,Morning,22,7.72,2.23,0.93,82.5,93.03,23.7,484.4,381,235,146,146,38.1,3.83,180,14,9651.6,Shortfall
2024-01-04,M05,Product_B,Evening,16,8.69,2.66,0.58,87.66,93.33,24.3,560.64,426,267,159,159,38.01,4.18,200,10,8360.0,Shortfall
2024-01-05,M04,Product_A,Evening,27,6.35,0.54,1.17,83.12,89.81,24.4,281.46,330,208,122,122,36.86,3.31,200,17,11254.0,Shortfall
2024-01-05,M01,Product_B,Morning,23,9.73,0.95,0.43,99.98,88.52,28.1,605.34,505,405,100,100,44.72,2.24,180,14,5644.8,Shortfall
2024-01-05,M05,Product_C,Night,9,7.22,0.81,1.12,94.75,92.93,31.1,577.05,278,176,102,102,27.58,3.7,230,6,5106.0,Shortfall
2024-01-05,M05,Product_A,Night,20,8.91,1.2,0.62,75.26,99.51,23.6,500.54,444,294,150,150,36.6,4.1,230,12,11316.0,Shortfall
2024-01-05,M03,Product_A,Night,29,10.47,1.22,0.43,84.74,91.11,36.0,236.05,566,382,184,184,39.59,4.65,230,18,19251.0,Shortfall
2024-01-05,M02,Product_C,Morning,13,6.39,0.29,1.23,75.94,94.51,26.9,340.24,267,162,105,105,27.93,3.76,180,8,5414.4,Shortfall
2024-01-05,M01,Product_A,Evening,22,8.59,1.76,1.58,87.27,89.01,34.7,214.42,460,267,193,193,37.77,5.11,200,14,14308.0,Shortfall
2024-01-05,M04,Product_A,Night,26,8.96,1.25,1.64,77.03,89.97,32.2,487.63,411,259,152,152,33.64,4.52,230,16,16633.6,Shortfall
2024-01-05,M05,Product_A,Morning,19,11.94,2.13,1.06,87.89,89.24,28.0,416.08,635,424,211,211,40.78,5.17,180,12,11167.2,Shortfall
